"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2013","Homicide Firearm","2003","117","4528732","2.58"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2013","Homicide Firearm","2003","56","3484336","1.61"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2013","Homicide Firearm","2003","18","818003","2.2"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2013","Homicide Firearm","2003","156","568502","27.44"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2013","Homicide Firearm","2003","660","17004085","3.88"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2013","Homicide Firearm","2003","493","8622793","5.72"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2013","Homicide Firearm","2003","10","1251154","0.8"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2013","Homicide Firearm","2003","19","1363380","1.39"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2013","Homicide Firearm","2003","696","12556006","5.54"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2013","Homicide Firearm","2003","247","6196638","3.99"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2013","Homicide Firearm","2003","24","2941999","0.82"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2013","Homicide Firearm","2003","78","2723004","2.86"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2013","Homicide Firearm","2003","115","4117170","2.79"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2013","Homicide Firearm","2003","473","4521042","10.46"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2013","Homicide Firearm","2003","P","1306513","."
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2013","Homicide Firearm","2003","394","5496269","7.17"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2013","Homicide Firearm","2003","78","6422565","1.21"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2013","Homicide Firearm","2003","477","10041152","4.75"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2013","Homicide Firearm","2003","75","5053572","1.48"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2013","Homicide Firearm","2003","201","2868312","7.01"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2013","Homicide Firearm","2003","219","5709403","3.84"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2013","Homicide Firearm","2003","20","919630","2.17"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2013","Homicide Firearm","2003","31","1738643","1.78"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2013","Homicide Firearm","2003","114","2248850","5.07"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2013","Homicide Firearm","2003","P","1279840","."
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2013","Homicide Firearm","2003","257","8601402","2.99"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2013","Homicide Firearm","2003","87","1877574","4.63"
"Both Sexes","All Races","New York","Both","All Ages","1999","2013","Homicide Firearm","2003","589","19175939","3.07"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2013","Homicide Firearm","2003","396","8422501","4.7"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2013","Homicide Firearm","2003","12","638817","1.88"
